1;Palmer J. Ruiz;4053 Augue St.;9;48620;King;6490.88;10;1
2;Xanthus F. Lindsay;Ap #694-4959 Est. Rd.;3;26347;Tail;7742.49;5;2
3;Kaseem O. Ferguson;5713 Aliquam Av.;9;97246;Perp;7189.84;2;3
4;Wayne L. Middleton;8813 Metus. St.;4;29635;Didi;6650.78;4;4
5;Russell V. Cannon;3053 Cubilia Street;4;49288;Swan;2485.98;4;5
6;Armando Z. Reeves;838-3658 Arcu. St.;1;40027;Quea;5453.97;9;6
7;Arden U. Vasquez;846-635 Vel Road;10;96009;Bena;9949.8;2;10
8;Dylan E. Beasley;4571 Magna St.;2;92518;Augu;1931.48;1;9
9;Cleo K. Rodriguez;Ap #586-3639 Mi St.;1;48573;Le G;9949.8;1;8
10;Delilah N. Mills;4951 Duis Rd.;1;19894;Rost;6330.71;9;7
11;Xyla L. Moses;Ap #465-4381 Nunc Ave;8;71414;San ;5732.38;2;5
12;Cole V. Bullock;Ap #248-4749 Dignissim Av.;1;34449;Sain;1922.28;4;4
13;Isadora X. Schroeder;927-8816 Ac St.;10;61854;Ahme;9153.53;4;7
14;Vanna B. Savage;923-4050 Vitae, St.;4;67128;Veld;9646.74;6;2
15;Thomas Q. Lee;170 Cras Avenue;8;40619;Sers;5699.24;8;8
16;Dahlia J. Haley;P.O. Box 771, 4291 Mi Ave;3;69643;Gees;9716.71;1;2
17;Kristen U. Stout;P.O. Box 210, 8463 At, Av.;7;31726;Bonn;3371.19;10;7
18;Hanna R. Cortez;P.O. Box 671, 844 Suspendisse ;10;50323;Lana;6832.15;9;9
19;Diana A. Frank;Ap #946-751 Amet Road;4;31657;Snel;3960.42;2;2
20;Angelica S. Ware;P.O. Box 274, 6062 Ut St.;5;79102;Gagl;5181.95;4;2
21;Erica J. Vance;Ap #370-6754 Neque. St.;9;17682;Bend;9190.62;4;3
22;Jessica T. Green;7926 Gravida Ave;6;64058;Auba;3338.71;6;2
23;Abel E. Rios;438-3697 Ut Street;4;61289;Merr;7304.54;8;7
24;Brock Y. Valencia;6644 Feugiat. Street;6;50347;Alla;3724.95;2;8
25;Declan W. Dudley;2569 Suspendisse St.;8;89467;Stok;7215.51;6;9
26;Lois A. English;7967 Leo. Road;10;15092;Bell;9381.41;1;3
27;Solomon U. Jordan;P.O. Box 807, 8834 Integer Roa;3;14416;Stir;8470.45;8;5
28;Kyle U. Webb;867 Elit Road;3;29030;Gera;6287.6;5;8
29;Jolene V. Byrd;Ap #844-5435 Mus. St.;4;91312;Mora;3931.87;2;4
30;Kitra O. Wilkins;Ap #263-2286 Aliquet Av.;4;69990;Gera;5177.52;3;4
31;Katell T. Marshall;499-7134 Molestie. Road;8;46732;San ;2183.05;9;7
32;Gisela K. Schroeder;6986 Est St.;6;87109;Bama;5573.08;6;2
33;Indigo K. Lindsey;P.O. Box 444, 2849 Ultrices Av;8;11028;Firo;9949.8;2;8
34;Cassidy W. Walker;8905 Sed St.;10;87113;Rull;5031.11;3;3
35;Tarik N. Witt;P.O. Box 214, 4375 Aliquam Av.;10;67515;Tamp;6055.8;9;2
36;Fredericka E. Wong;5837 Elit Avenue;1;55427;Mott;9604.8;7;9
37;Kaye O. Doyle;P.O. Box 928, 8183 In Rd.;3;90552;Ling;2329.39;4;1
38;Margaret I. Warner;Ap #939-2903 Aliquet Av.;1;86331;Have;2534.89;10;7
39;Ahmed J. Pickett;P.O. Box 339, 6449 Sociosqu Rd;6;39260;San ;1982.72;7;1
40;Hyatt D. Becker;799-5389 Porttitor Road;6;66422;Nijm;8319.55;5;2
41;Barbara S. Simpson;865-3090 Augue, St.;6;42843;Casp;2242.57;4;9
42;Griffin Z. Fletcher;P.O. Box 487, 2685 Consectetue;8;74803;Sirs;5365.38;3;8
43;Nerea B. Lara;3936 Elit St.;7;95047;Cape;2504.08;3;10
44;Neville U. Hatfield;Ap #627-9286 Purus, Avenue;7;24175;Arge;4929.35;5;7
